               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093345,            0.028457,            0.053803,           0.0033414,             0.64261,             0.03583,            0.011515,            0.059782,            0.017149,            0.041037,              0.0712,              0.0032,              0.0032
                   1,            0.062839,            0.028879,            0.043158,              0.3228,             0.26368,             0.15762,            0.055792,            0.055638,            0.013536,            0.024462,            0.041371,           0.0063713,           0.0063713
                   2,            0.060667,            0.023149,            0.037363,             0.34093,             0.30878,             0.20681,            0.074831,            0.057435,            0.010123,            0.017352,            0.011412,           0.0094119,           0.0094119
                   3,            0.057364,            0.021193,            0.030927,             0.57249,             0.36686,             0.49464,             0.23246,            0.052969,           0.0074891,            0.015034,            0.009406,            0.009406,            0.009406
                   4,            0.056134,            0.020455,             0.02631,             0.59571,             0.45959,             0.48114,             0.22312,            0.054236,           0.0085069,            0.011753,            0.009406,            0.009406,            0.009406
                   5,            0.052045,            0.018734,            0.021829,             0.59718,             0.55349,              0.5569,             0.29171,            0.043639,           0.0081961,            0.010634,            0.009208,            0.009208,            0.009208
                   6,            0.053265,            0.019717,            0.022537,             0.62866,             0.52036,             0.67108,             0.37176,            0.039694,           0.0085608,           0.0098329,             0.00901,             0.00901,             0.00901
                   7,            0.045637,            0.018958,            0.018012,             0.59588,             0.61621,             0.55073,             0.28194,            0.046998,           0.0083638,           0.0089915,            0.008812,            0.008812,            0.008812
                   8,            0.048141,             0.01803,             0.01475,             0.75865,             0.62796,             0.64543,             0.36489,            0.041413,           0.0077106,           0.0085695,            0.008614,            0.008614,            0.008614
                   9,            0.041363,            0.017675,            0.016037,             0.83901,             0.62402,             0.78586,             0.46316,            0.039691,           0.0079154,           0.0091703,            0.008416,            0.008416,            0.008416
                  10,            0.046758,            0.017329,            0.014986,             0.78109,             0.59221,             0.72731,             0.38769,             0.03649,           0.0087338,           0.0081822,            0.008218,            0.008218,            0.008218
                  11,            0.040467,            0.017703,            0.014767,             0.57164,             0.68873,             0.68793,             0.34456,            0.038882,            0.008456,            0.007646,             0.00802,             0.00802,             0.00802
                  12,            0.048874,            0.018092,            0.011657,             0.62638,             0.66604,             0.68306,             0.39222,             0.03943,           0.0078219,           0.0094177,            0.007822,            0.007822,            0.007822
                  13,            0.042884,            0.017808,            0.015416,             0.73072,             0.58498,             0.71189,             0.35075,            0.039265,           0.0079852,            0.007118,            0.007624,            0.007624,            0.007624
                  14,             0.04204,            0.018119,            0.014498,              0.7455,             0.59255,             0.73718,             0.41793,             0.03828,           0.0079865,            0.010004,            0.007426,            0.007426,            0.007426
                  15,              0.0353,            0.016874,            0.011249,             0.78274,             0.57968,             0.70478,             0.36684,            0.039246,           0.0083876,            0.008611,            0.007228,            0.007228,            0.007228
                  16,             0.03951,            0.017124,             0.01429,             0.67644,              0.8113,             0.79936,             0.39437,            0.039363,           0.0083922,           0.0094746,             0.00703,             0.00703,             0.00703
